Badness,planet_d1_act,planet_d2_act,sun_d1_act,ring_d2_act,dp,gr_act,planet_d1_act teeth no,planet_d2_act teeth no,sun_d1_act teeth no,ring_d2_act teeth no,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
1.59E-14,1.5,1,1,3.5,18,6.25,27,18,18,63,,,,,,,,,,,
1.59E-14,1.5,1,1,3.5,18,6.25,27,18,18,63,,,,,,,,,,,
2.55E-14,1.5,1,1,3.5,18,6.25,27,18,18,63,,,,,,,,,,,
2.55E-14,1.5,1,1,3.5,18,6.25,27,18,18,63,,,,,,,,,,,
4.65E-14,1.5,1,1,3.5,18,6.25,27,18,18,63,,,,,,,,,,,
8.63E-14,1.5,1,1,3.5,18,6.25,27,18,18,63,,,,,,,,,,,
1.87E-13,1.5,1,1,3.5,18,6.25,27,18,18,63,,,,,,,,,,,
8.68E-13,1.5,1,1,3.5,18,6.25,27,18,18,63,,,,,,,,,,,
9.58E-07,1.5,1,1,3.5,18,6.25,27,18,18,63,,,,,,,,,,,
0.0010799,1.3182,0.72727,1.0909,3.1364,22,6.2109,29.0004,15.99994,23.9998,69.0008,,,,,,,,,,,
0.0010799,1.3182,0.72727,1.0909,3.1364,22,6.2109,29.0004,15.99994,23.9998,69.0008,,,,,,,,,,,
0.0015032,1.3182,0.72727,1.0909,3.1364,22,6.2109,29.0004,15.99994,23.9998,69.0008,,,,,,,,,,,
0.0028802,1.4545,1,0.95455,3.4091,22,6.1948,31.999,22,21.0001,75.0002,,,,,,,,,,,
0.0034237,1.4091,0.90909,0.95455,3.2727,22,6.3143,31.0002,19.99998,21.0001,71.9994,,,,,,,,,,,
0.0038577,1.4091,0.90909,0.95455,3.2727,22,6.3143,31.0002,19.99998,21.0001,71.9994,,,,,,,,,,,
0.0039108,1.4091,0.90909,0.95455,3.2727,22,6.3143,31.0002,19.99998,21.0001,71.9994,,,,,,,,,,,
0.0040424,1.4091,0.90909,0.95455,3.2727,22,6.3143,31.0002,19.99998,21.0001,71.9994,,,,,,,,,,,
0.0043597,1.4091,0.90909,0.95455,3.2727,22,6.3143,31.0002,19.99998,21.0001,71.9994,,,,,,,,,,,
0.0055441,1.4,0.85,1.05,3.3,20,6.1765,28,17,21,66,,,,,,,,,,,
0.012229,1.4,1,0.9,3.3,20,6.1333,28,20,18,66,,,,,,,,,,,
0.01354,1.4,1,0.9,3.3,20,6.1333,28,20,18,66,,,,,,,,,,,
0.02011,1.5,0.95455,1.0909,3.5455,22,6.1071,33,21.0001,23.9998,78.001,,,,,,,,,,,
0.022032,1.35,0.75,1.05,3.15,20,6.4,27,15,21,63,,,,,,,,,,,
0.022322,1.35,0.75,1.05,3.15,20,6.4,27,15,21,63,,,,,,,,,,,
0.04969,1.3636,0.81818,0.95455,3.1364,22,6.4762,29.9992,17.99996,21.0001,69.0008,,,,,,,,,,,
0.060969,1.3636,0.81818,1.0909,3.2727,22,6,29.9992,17.99996,23.9998,71.9994,,,,,,,,,,,
0.061456,1.3636,0.81818,1.0909,3.2727,22,6,29.9992,17.99996,23.9998,71.9994,,,,,,,,,,,
0.23114,1.5,0.81818,1.0909,3.4091,22,6.7292,33,17.99996,23.9998,75.0002,,,,,,,,,,,
0.83494,1.3636,0.81818,1.3636,3.5455,22,5.3333,29.9992,17.99996,29.9992,78.001,,,,,,,,,,,
